GID,PID,SEASON,POSTSEASON,AWAY,PRESSURE,TO BEFORE,PRECIP,COLD49,HUMID,WINDY,GRASS,ALTITUDE,DIST,MAKE,BLOCKED,FKICKER,NAME,FG OF CAREER,SEASON OF CAREER
43,6879,2000,0,1,2,0,0,0,1,1,1,0,27,1,0,MS-520,Matt Stover,265,10
43,6898,2000,0,1,3,0,0,0,1,1,1,0,33,1,0,MS-520,Matt Stover,266,10
44,7015,2000,0,1,2,0,0,0,1,0,1,0,32,1,0,TS-110,Tim Seder,4,1
44,7084,2000,0,1,4,0,0,0,1,0,1,0,38,1,0,TS-110,Tim Seder,5,1
45,7145,2000,0,0,2,0,0,0,0,0,1,0,31,1,0,CB-170,Cary Blanchard,159,9
45,7158,2000,0,1,2,0,0,0,0,0,1,0,38,1,0,RL-130,Ryan Longwell,111,4
45,7185,2000,0,1,2,0,0,0,0,0,1,0,47,1,0,RL-130,Ryan Longwell,112,4
45,7204,2000,0,1,2,0,0,0,0,0,1,0,48,1,0,RL-130,Ryan Longwell,113,4
45,7219,2000,0,1,3,0,0,0,0,0,1,0,37,1,0,RL-130,Ryan Longwell,114,4
45,7226,2000,0,1,1,0,0,0,0,0,1,0,22,1,0,RL-130,Ryan Longwell,115,4
46,7274,2000,0,1,2,0,0,0,0,0,0,0,30,1,0,JW-330,Jeff Wilkins,152,6
46,7320,2000,0,0,2,0,0,0,0,0,0,0,37,1,0,MA-070,Morten Andersen,611,18
46,7337,2000,0,0,2,1,0,0,0,0,0,0,45,1,0,MA-070,Morten Andersen,612,18
46,7350,2000,0,1,2,1,0,0,0,0,0,0,30,1,0,JW-330,Jeff Wilkins,153,6
47,7421,2000,0,0,2,0,0,0,1,0,1,0,30,1,0,MS-520,Matt Stover,267,10
47,7516,2000,0,0,2,0,0,0,1,0,1,0,37,1,0,MS-520,Matt Stover,268,10
47,7562,2000,0,0,1,1,0,0,1,0,1,0,19,1,0,MS-520,Matt Stover,269,10
48,7665,2000,0,1,2,0,0,0,1,1,1,0,32,0,1,JH-090,Jason Hanson,255,9
49,7776,2000,0,1,2,0,0,0,1,1,0,0,38,1,0,WR-050,Wade Richey,45,3
49,7786,2000,0,0,2,0,0,0,1,1,0,0,40,1,0,TS-110,Tim Seder,6,1
49,7835,2000,0,1,2,0,0,0,1,1,0,0,47,1,0,WR-050,Wade Richey,46,3
50,7928,2000,0,0,2,0,0,1,1,0,1,1,22,1,0,JN-060,Joe Nedney,77,5
50,7946,2000,0,0,2,0,0,1,1,0,1,1,20,1,0,JN-060,Joe Nedney,78,5
50,7964,2000,0,0,2,0,0,1,1,0,1,1,50,0,0,JN-060,Joe Nedney,79,5
50,8000,2000,0,0,2,0,0,1,1,0,1,1,43,1,0,JN-060,Joe Nedney,80,5
50,8031,2000,0,1,3,0,0,1,1,0,1,1,42,1,0,PS-090,Pete Stoyanovich,277,12
51,8090,2000,0,1,2,0,0,0,1,1,1,0,40,1,0,AV-040,Adam Vinatieri,154,5
51,8130,2000,0,0,2,1,0,0,1,1,1,0,43,1,0,OM-010,Olindo Mare,123,4
51,8179,2000,0,1,3,0,0,0,1,1,1,0,53,0,0,AV-040,Adam Vinatieri,155,5
53,8427,2000,0,1,2,0,0,0,0,0,1,0,42,0,0,PD-020,Phil Dawson,17,2
53,8477,2000,0,1,2,0,0,0,0,0,1,0,29,1,0,PD-020,Phil Dawson,18,2
53,8488,2000,0,0,3,0,0,0,0,0,1,0,37,1,0,SJ-030,Sebastian Janikowski,6,1
53,8504,2000,0,0,1,0,0,0,0,0,1,0,31,1,0,SJ-030,Sebastian Janikowski,7,1
54,8550,2000,0,0,2,0,0,0,-1,1,0,0,32,1,0,KB-230,Kris Brown,33,2
54,8562,2000,0,1,2,0,0,0,-1,1,0,0,24,1,0,AD-080,Al Del Greco,337,17
54,8576,2000,0,0,2,0,0,0,-1,1,0,0,32,1,0,KB-230,Kris Brown,34,2
54,8626,2000,0,1,2,0,0,0,-1,1,0,0,40,1,0,AD-080,Al Del Greco,338,17
54,8650,2000,0,1,3,0,0,0,-1,1,0,0,40,1,0,AD-080,Al Del Greco,339,17
54,8693,2000,0,0,6,0,0,0,-1,1,0,0,50,0,0,KB-230,Kris Brown,35,2
55,8707,2000,0,1,2,0,0,0,0,0,1,0,25,1,0,KH-150,Kris Heppner,7,1
55,8719,2000,0,0,2,0,0,0,0,0,1,0,41,1,0,JC-090,John Carney,313,11
55,8725,2000,0,0,2,0,0,0,0,0,1,0,28,1,0,JC-090,John Carney,314,11
55,8762,2000,0,0,2,0,0,0,0,0,1,0,24,1,0,JC-090,John Carney,315,11
55,8774,2000,0,1,2,1,0,0,0,0,1,0,26,1,0,KH-150,Kris Heppner,8,1
55,8779,2000,0,0,2,1,0,0,0,0,1,0,45,1,0,JC-090,John Carney,316,11
55,8835,2000,0,1,3,0,0,0,0,0,1,0,34,0,0,KH-150,Kris Heppner,9,1
56,8873,2000,0,0,2,0,1,0,1,0,1,0,22,1,0,MG-120,Martin Gramatica,40,2
56,8885,2000,0,1,2,0,1,0,1,0,1,0,41,1,0,JH-050,John Hall,121,4
56,8923,2000,0,1,2,1,1,0,1,0,1,0,27,1,0,JH-050,John Hall,122,4
57,9069,2000,0,1,2,0,0,0,1,0,1,0,25,1,0,MH-390,Michael Husted,140,8
57,9133,2000,0,1,3,0,0,0,1,0,1,0,30,0,0,MH-390,Michael Husted,141,8
58,9286,2000,0,0,2,1,0,0,0,0,0,0,41,1,0,MV-010,Mike Vanderjagt,77,3
58,9310,2000,0,0,3,0,0,0,0,0,0,0,22,1,0,MV-010,Mike Vanderjagt,78,3
59,9367,2000,0,0,2,0,0,0,0,1,0,0,19,1,0,SC-070,Steve Christie,344,4
59,9386,2000,0,0,2,0,0,0,0,1,0,0,30,1,0,SC-070,Steve Christie,345,4
59,9397,2000,0,0,2,0,0,0,0,1,0,0,27,1,0,SC-070,Steve Christie,346,4
59,9504,2000,0,1,6,1,0,0,0,1,0,0,45,1,0,MV-010,Mike Vanderjagt,79,3
60,9578,2000,0,0,2,0,0,0,0,1,1,0,39,1,0,RC-290,Richie Cunningham,84,4
60,9603,2000,0,1,2,0,0,0,0,1,1,0,27,1,0,TS-110,Tim Seder,7,1
60,9616,2000,0,0,3,0,0,0,0,1,1,0,23,1,0,RC-290,Richie Cunningham,85,4
60,9642,2000,0,1,5,0,0,0,0,1,1,0,45,0,0,TS-110,Tim Seder,8,1
60,9656,2000,0,1,5,0,0,0,0,1,1,0,24,1,0,TS-110,Tim Seder,9,1
61,9688,2000,0,0,2,0,0,0,1,0,1,0,23,1,0,NR-010,Neil Rackers,4,1
61,9696,2000,0,0,2,0,0,0,1,0,1,0,38,1,0,NR-010,Neil Rackers,5,1
61,9728,2000,0,1,2,1,0,0,1,0,1,0,40,1,0,OM-010,Olindo Mare,124,4
61,9792,2000,0,0,3,0,0,0,1,0,1,0,34,1,0,NR-010,Neil Rackers,6,1
62,9840,2000,0,1,2,0,0,0,0,1,1,0,45,1,0,MS-520,Matt Stover,270,10
62,9865,2000,0,1,2,0,0,0,0,1,1,0,30,1,0,MS-520,Matt Stover,271,10
62,9872,2000,0,1,2,0,0,0,0,1,1,0,44,1,0,MS-520,Matt Stover,272,10
62,9889,2000,0,1,2,0,0,0,0,1,1,0,51,0,0,MS-520,Matt Stover,273,10
62,9922,2000,0,1,2,0,0,0,0,1,1,0,22,1,0,MS-520,Matt Stover,274,10
63,10018,2000,0,0,2,0,0,0,0,0,1,1,20,1,0,JN-060,Joe Nedney,81,5
63,10118,2000,0,0,3,0,0,0,0,0,1,1,43,0,0,JN-060,Joe Nedney,82,5
64,10205,2000,0,0,2,0,0,0,0,0,0,0,21,1,0,JH-090,Jason Hanson,256,9
64,10226,2000,0,1,2,1,0,0,0,0,0,0,20,1,0,GA-030,Gary Anderson,597,21
64,10240,2000,0,0,2,0,0,0,0,0,0,0,43,0,0,JH-090,Jason Hanson,257,9
65,10345,2000,0,1,2,0,0,0,0,1,1,0,19,1,0,PE-010,Paul Edinger,5,1
65,10382,2000,0,0,2,0,0,0,0,1,1,0,42,1,0,RL-130,Ryan Longwell,116,4
65,10397,2000,0,1,2,1,0,0,0,1,1,0,42,0,0,PE-010,Paul Edinger,6,1
